subject,canonical,candidate,decision,confidence,review_source,binding_status,reason,fact_id
main/melee/ft/ftcoll:ftColl_800784B4,ftColl_800784B4,ftColl_PlayClankSFX,normalize,0.78,audit-1,function_binding_required,Text states a preferred candidate; alternatives are retained.,fact:017cac99-3df9-41fb-900d-6688d67999d5
main/melee/ty/tylist:_tyList_80312904,_tyList_80312904,tyList_UpdateRowText,normalize,0.72,regex_no_flags,function_binding_required,Recognized name_statement form; no lexical audit flags.,fact:01821ace-467d-458a-9248-52a930f3c656
main/melee/if/if_2F72:if_802F73C4,if_802F73C4,ifStatus_TransientAnnouncementProc,normalize,0.72,audit-2,function_binding_required,Single explicit identifier proposal; prefix change is not an extraction defect.,fact:01827e2d-3ce7-45ae-bb5a-22d8b89c2d82
main/melee/it/kinds/itmaril:it_802D6F00,it_802D6F00,itMaril_Logic27_DmgReceived,normalize,0.82,audit-3,function_binding_required,Original statement supplies one extractable identifier; prefix changes and repeated semantic names do not alter extraction.,fact:0193123e-1025-4862-aedc-4f6fd7cea457
main/melee/ty/tydisplay:_tyDisplay_8031A4EC,_tyDisplay_8031A4EC,tyDisplay_CameraProc,normalize,0.7,regex_no_flags,function_binding_required,Recognized name_statement form; no lexical audit flags.,fact:01a29840-36dd-4fc0-97e5-0413c45da5a9
main/melee/gm/gm_1601:gm_801674C4,gm_801674C4,gm_StartRouteEncounter,ambiguous,0.76,audit-1,function_binding_required,Text leaves competing proposed names unresolved.,fact:01afae4d-47c5-4c21-8519-6ba5dab72732
main/melee/gm/gm_16F1:fn_80172734,fn_80172734,gm_IsTrophyTotalAtLeast200,normalize,0.76,regex_no_flags,function_binding_required,Recognized identifier form; no lexical audit flags.,fact:01b32658-a9d4-42fa-afd0-4bb75f81a2bd
main/melee/it/kinds/ityoshitongue:it_802F2BFC,it_802F2BFC,itYoshiTongue_Setup,normalize,0.82,audit-4,function_binding_required,source explicitly states this candidate,fact:01bde7e5-a68b-4ba3-960e-3bb40a055474
main/melee/gr/grlast:grLast_8021A970,grLast_8021A970,grLast_Ground2_OnInit,normalize,0.78,regex_no_flags,function_binding_required,Recognized identifier form; no lexical audit flags.,fact:01bf2272-d285-4582-bd93-0a64aea29124
main/melee/ty/toy:Toy_80308354,Toy_80308354,Toy_GetTrophyIdFromListIndex,normalize,0.8,regex_no_flags,function_binding_required,Recognized name_statement form; no lexical audit flags.,fact:01c2e8f4-4d36-4f3e-a246-ba1424b2a3d8
main/melee/it/kinds/itwstar:itWstar_UnkMotion0_Coll,itWstar_UnkMotion0_Coll,itWstar_Wait_Coll,normalize,0.7,regex_no_flags,function_binding_required,Recognized name_statement form; no lexical audit flags.,fact:01e01f96-22c7-4c5c-882f-321cd942e439
main/melee/ft/ftanim:ftAnim_8006E7B8,ftAnim_8006E7B8,ftAnim_AnimPart,normalize,0.64,regex_no_flags,function_binding_required,Recognized leading_name form; no lexical audit flags.,fact:01e39f35-4a31-40a8-9ecd-49e767780858
main/melee/cm/camera:Camera_8002FEEC,Camera_8002FEEC,Camera_SetModeToDebugFollow,normalize,0.9,regex_no_flags,function_binding_required,Recognized leading_name form; no lexical audit flags.,fact:01e87d9c-a74a-491a-ad5c-ae60647f8d59
main/melee/gr/grpstadium:.sbss,.sbss,grPs_StageAttrPtr,normalize,0.72,extract-3,non_function_binding_required,preferred name is stated; current name retained as alternative,fact:01e8ebbb-599b-4443-9ef5-12711d819940
main/melee/vi/vi0402:un_8031D708,un_8031D708,vi0402_SetupSceneModels,normalize,0.74,audit-4,function_binding_required,source explicitly states this candidate,fact:01e9d8b8-afee-47cf-8a53-93bc2a20c75f
main/sysdolphin/baselib/gobj:HSD_GObj_80390EB8,HSD_GObj_80390EB8,HSD_GObjGetTrspMask,normalize,0.76,regex_no_flags,function_binding_required,Recognized identifier form; no lexical audit flags.,fact:01f44991-2847-4d8f-b802-25d0d5887f87
main/melee/pl/player:Player_SetSlottype,Player_SetSlottype,Player_SetPlayerSlotType,normalize,0.9,regex_no_flags,function_binding_required,Recognized identifier form; no lexical audit flags.,fact:01f5cd5e-768f-4aa3-87a8-8403ad28ad47
main/melee/ft/kinds/ftKirby/ftkirbyspecialkoopa:ftKb_SpecialNKp_800FA8B4,ftKb_SpecialNKp_800FA8B4,ftKb_KpSpecialN_Enter,normalize,0.91,regex_no_flags,function_binding_required,Recognized name_statement form; no lexical audit flags.,fact:0201653a-4c46-4d1b-86dc-ba167b4bb215
main/melee/lb/lbaudio_ax:lbAudioAx_8002785C,lbAudioAx_8002785C,lbAudioAx_LoadMatchSFXBanks,normalize,0.75,regex_no_flags,function_binding_required,Recognized name_statement form; no lexical audit flags.,fact:02069f5d-4664-48a5-9924-bbea53225f21
main/melee/ft/kinds/ftKirby/ftkirby:ftKb_Init_UnkCallbackPairs0_1,ftKb_Init_UnkCallbackPairs0_1,ftKb_Init_ApplyHatTObjAnimFrame,ambiguous,0.72,audit-1,function_binding_required,Text leaves competing proposed names unresolved.,fact:020a76e3-1636-4d74-84f5-ef103024885f
main/melee/ft/kinds/ftCommon/ftCo_ItemScopeRapid:fn_800D7BDC,fn_800D7BDC,ftCo_ItemScopeRapid_Enter,normalize,0.92,regex_no_flags,function_binding_required,Recognized identifier form; no lexical audit flags.,fact:021564e1-c73e-478b-b58e-b5cd99a81b42
main/melee/gr/ground:Ground_801C1DE4,Ground_801C1DE4,Ground_GetTargetCounts,normalize,0.86,regex_no_flags,function_binding_required,Recognized identifier form; no lexical audit flags.,fact:02180af9-5552-4d65-8d54-62087ec35618
main/melee/cm/cmsnap:cmSnap_800316B4,cmSnap_800316B4,cmSnap_Init,normalize,0.88,regex_no_flags,function_binding_required,Recognized name_statement form; no lexical audit flags.,fact:0218a7d5-03c6-44e4-8286-8d779428ed13
main/melee/gr/grpura:grPura_802125F0,grPura_802125F0,grPura_InitFloatModelGObjs,normalize,0.72,regex_no_flags,function_binding_required,Recognized name_statement form; no lexical audit flags.,fact:021b5137-3027-479a-a853-8fa666f74e7e
main/melee/gr/grdatfiles:grDatFiles_801C5FC0,grDatFiles_801C5FC0,grDatFiles_InitializeDAT,normalize,0.78,regex_no_flags,function_binding_required,Recognized name_statement form; no lexical audit flags.,fact:021eeddc-ba0b-4517-9a68-c4e6f3f57655
main/melee/if/ifstock:ifStock_802F98E8,ifStock_802F98E8,ifStock_InitPlayer,normalize,0.78,audit-2,function_binding_required,Single explicit identifier proposal; prefix change is not an extraction defect.,fact:0224a7bf-b6b2-46b1-9fd6-4213db154cfa
main/melee/pl/pl_040D:pl_80041524,pl_80041524,plBonus_ResetFinalHitMoveHistory,normalize,0.74,audit-4,function_binding_required,source explicitly states this candidate,fact:0225a288-8f91-43cd-9ebc-601c4be48908
main/melee/cm/camera:Camera_800293E0,Camera_800293E0,Camera_ApproachSubjectBounds,normalize,0.74,regex_no_flags,function_binding_required,Recognized name_statement form; no lexical audit flags.,fact:0227043b-fc73-4c29-b5af-4fd0ec16fc3d
main/melee/ft/ft_0C88:ftCo_800C8B2C,ftCo_800C8B2C,ftCo_StartColAnimIfEnabled,normalize,0.64,regex_no_flags,function_binding_required,Recognized leading_name form; no lexical audit flags.,fact:022de4dc-8e10-4165-a071-4ed7572fa85f
main/melee/gm/gmevent:gm_801BCC9C,gm_801BCC9C,gmEvent_SequentialOpponentProc,normalize,0.63,audit-1,function_binding_required,Explicit proposed identifier; prefix or duplicate flags do not change extraction.,fact:0232234b-a32f-4183-9d47-0c55b62d83bb
main/melee/gm/gmstamina:gm_801B927C,gm_801B927C,gm_Mode_StaminaVs_ExitSss,normalize,0.82,regex_no_flags,function_binding_required,Recognized identifier form; no lexical audit flags.,fact:02410559-3320-4f72-b76f-fe205db10e8f
main/melee/ft/kinds/ftKirby/ftkirbyyoshiegg:fn_8010B148,fn_8010B148,ftCo_KirbyYoshiEgg_Air,normalize,0.74,regex_no_flags,function_binding_required,Recognized name_statement form; no lexical audit flags.,fact:024c756f-9c8c-491b-8e7e-98c8282e9186
main/melee/gr/grdatfiles:grDatFiles_801C6478,grDatFiles_801C6478,grDatFiles_LoadArchiveFromMemory,normalize,0.62,regex_no_flags,function_binding_required,Recognized name_statement form; no lexical audit flags.,fact:024dc948-4082-452f-b62a-15f2be3b7c3b
main/melee/ft/kinds/ftNess/ftnessattackhi4:ftNs_AttackHi4_YoyoSetHitPos,ftNs_AttackHi4_YoyoSetHitPos,ftNs_AttackHi4_YoyoSetHitPos,already_canonical,0.97,audit-1,function_binding_required,Candidate already matches the canonical name.,fact:02517adc-a3ba-4f34-a0da-6660f1ba089e
main/melee/ft/kinds/ftCommon/ftCo_PassiveWall:ftCo_800C1E0C,ftCo_800C1E0C,ftCo_PassiveWall_CheckJumpInput,normalize,0.78,regex_no_flags,function_binding_required,Recognized identifier form; no lexical audit flags.,fact:0252adfc-f728-4c24-8db5-85783d412a16
main/sysdolphin/baselib/gobjproc:HSD_GObjProc_8038FED4,HSD_GObjProc_8038FED4,HSD_GObjProcRemoveAll,normalize,0.87,regex_no_flags,function_binding_required,Recognized name_statement form; no lexical audit flags.,fact:02542f74-e7e7-4a11-8bb8-625268a1109e
main/melee/lb/lb_0219:fn_80021B04,fn_80021B04,lbBgFlash_ColorAnimProc,normalize,0.74,regex_no_flags,function_binding_required,Recognized name_statement form; no lexical audit flags.,fact:0257298a-d808-4272-8fa9-1219f4a8535c
main/melee/gm/gmslomo:gm_801BA5F4,gm_801BA5F4,gm_Mode_SloMoVs_ExitVs,normalize,0.8,regex_no_flags,function_binding_required,Recognized identifier form; no lexical audit flags.,fact:025fba3f-a148-48be-9a58-599801539bad
main/melee/it/kinds/itlinkhookshot:it_802A6944,it_802A6944,itLinkhookshot_UpdateTipModelMtx,normalize,0.76,audit-3,function_binding_required,Original statement supplies one extractable identifier; prefix changes and repeated semantic names do not alter extraction.,fact:0261f3ea-c7b6-4698-bcfc-5ddb8ca8f804
main/sysdolphin/baselib/hsd_3A64:HSD_SisLib_803A660C,HSD_SisLib_803A660C,HSD_SisLib_AppendString,normalize,0.82,regex_no_flags,function_binding_required,Recognized identifier form; no lexical audit flags.,fact:027b7bfb-6e05-449a-b641-77f608a7de8f
main/melee/ft/ftaction:ftAction_80071784,ftAction_80071784,ftAction_SetThrowFlags,ambiguous,0.78,audit-1,function_binding_required,Text leaves competing proposed names unresolved.,fact:027c312e-6c0d-4f6c-b876-9481c892db0a
main/melee/pl/plbonuslib:plBonusLib_8003D514,plBonusLib_8003D514,plBonusLib_RecordOpponentDeathPosition,normalize,0.68,regex_no_flags,function_binding_required,Recognized name_statement form; no lexical audit flags.,fact:028118fd-8464-4372-ab0a-2bbb1f269b7a
main/melee/gr/stage:Stage_GetCamInfoX20,Stage_GetCamInfoX20,Stage_GetCamHorizontalAngleScale,normalize,0.78,regex_no_flags,function_binding_required,Recognized name_statement form; no lexical audit flags.,fact:02852844-eda4-40dd-9350-48c02265b46e
main/melee/gm/gm_17AD:fn_8017B07C,fn_8017B07C,gmGetPlayer0KOsAgainst,normalize,0.67,regex_no_flags,function_binding_required,Recognized identifier form; no lexical audit flags.,fact:028f2670-ad74-4fbd-9cdf-1229ca22972a
main/melee/ft/kinds/ftSeak/ftseakspecialhi:ftSk_SpecialHi_80113324,ftSk_SpecialHi_80113324,ftSk_SpecialHiStart_0_GroundToAir,normalize,0.97,regex_no_flags,function_binding_required,Recognized identifier form; no lexical audit flags.,fact:02923f3e-74bd-4e01-a34c-40bb81fd55e2
main/melee/ft/kinds/ftKirby/ftkirbyspeciallink:ftKb_SpecialNLk800FB840,ftKb_SpecialNLk800FB840,ftKb_SpecialNLk_ProcessFv14,normalize,0.94,regex_no_flags,function_binding_required,Recognized name_statement form; no lexical audit flags.,fact:029691af-abdc-4a85-a282-b38ad7e4a65a
main/melee/gr/grhomerun:grHomeRun_8021EAF8,grHomeRun_8021EAF8,grHomeRun_SetCompletionFlag,normalize,0.66,regex_no_flags,function_binding_required,Recognized name_statement form; no lexical audit flags.,fact:02a7e042-bb39-4358-b62d-bfada5040469
main/melee/gm/gmresult:fn_801771C0,fn_801771C0,gmResultInitWinner,normalize,0.72,regex_no_flags,function_binding_required,Recognized name_statement form; no lexical audit flags.,fact:02a9bbae-d41b-4fc1-afb3-a2161a4ec820
main/melee/gm/gmmain_lib:gmMainLib_8015D640,gmMainLib_8015D640,gmMainLib_AreAllTargetTestsCleared,normalize,0.85,regex_no_flags,function_binding_required,Recognized name_statement form; no lexical audit flags.,fact:02affe15-44eb-402f-9634-ad1befcc4c7d
main/melee/it/kinds/itmarumine:it_802D100C,it_802D100C,itMarumine_UnkMotion5_Enter,normalize,0.84,audit-3,function_binding_required,Original statement supplies one extractable identifier; prefix changes and repeated semantic names do not alter extraction.,fact:02cad5e1-225e-45bc-825d-aa8c1963e012
main/melee/lb/lb_020A:fn_80020AEC,fn_80020AEC,lb_020A_GetJObjOrientationMtx,normalize,0.58,regex_no_flags,function_binding_required,Recognized identifier form; no lexical audit flags.,fact:02d92c93-bc97-49bb-bc76-7adede722e91
main/melee/vi/vi1201v2:un_803208F0,un_803208F0,vi1201v2_CameraCallback,normalize,0.97,audit-4,function_binding_required,source explicitly states this candidate,fact:02d9f8e4-d6c0-47a1-ad1f-0b53cbac4bab
main/melee/ft/ft_07C1:ft_8007C17C,ft_8007C17C,ft_InitThrownHitbox,normalize,0.75,regex_no_flags,function_binding_required,Recognized likely_prefix form; no lexical audit flags.,fact:02e06394-8b09-4755-beb1-bfed5a113855
main/melee/ft/kinds/ftPikachu/ftpikachuspecialhi:ftPk_SpecialHi_ChangeMotion_Unk01,ftPk_SpecialHi_ChangeMotion_Unk01,ftPk_SpecialAirHiStart0_AirToGround,normalize,0.9,regex_no_flags,function_binding_required,Recognized name_statement form; no lexical audit flags.,fact:02e74507-a18c-46f7-93a8-019dec3542c9
