id,target_id,entity_id,type,value,rationale,confidence,updated_at,symbol,stable_key,unit,target_kind,target_status,entity_kind,locator,entity_status,matched_in
fact:0a50ac7c-ce30-4b85-ad72-dac1c0f7cdec,target:function:main/melee/it/kinds/itkyasarin:itKyasarin_UnkMotion10_Anim,,game_mapping,"Provides the looping visual animation for one damage-induced falling branch of Birdo's Mushroom Kingdom II stage hazard, corresponding to the hazard's temporary retreat after receiving enough damage.","The code places motion 10 behind Kyasarin's highest accumulated-damage threshold and flips the actor before selecting it. The wiki identifies Kyasarin as Birdo and documents that Birdo temporarily retreats after enough damage, supporting this narrowly scoped gameplay mapping without assigning an unsupported exact pose name to motion 10.",0.94,2026-09-02T03:51:08.648Z,itKyasarin_UnkMotion10_Anim,main/melee/it/kinds/itkyasarin:itKyasarin_UnkMotion10_Anim,main/melee/it/kinds/itkyasarin,function,current,,,,rationale
fact:0a68bc0a-a209-4067-b98a-45ef8cb4261c,target:data:main/melee/gr/grinishie2:.data,,game_mapping,"Configures Melee's Mushroom Kingdom II and dispatches the Ground-side objects behind its interactive Super Mario Bros. 2 stage elements, including the recurring logs, Birdo hazard, and Pidgit magic-carpet platform.","The descriptor identifies the stage as `Gr_Kind_Inishie2` using `/GrI2.dat`; SmashWiki identifies Mushroom Kingdom II's Japanese name as `Inishie no Ōkoku II`. The callback entries drive paired recurring collision objects, the Kyasarin/Birdo creation path, and a side-spawned flying collision platform, corresponding to the stage overview's logs, Birdo, and rideable Pidgit carpet.",0.95,2026-09-02T08:04:33.137Z,.data,main/melee/gr/grinishie2:.data,main/melee/gr/grinishie2,data,current,,,,rationale
fact:0b0e8b06-b335-4339-be34-7ffd07020f3b,target:function:main/melee/it/kinds/itdrmariopill:itDrMarioPill_Absorbed,,purpose,"Handles notification that a Dr. Mario pill has been absorbed by running the pill's generic item-event helper sequence, playing the event sound effect, and reporting success.","The matched body is explicitly named as the pill's Absorbed callback. It invokes it_8026B3A8 twice, calls the item audio routine with sound ID 0x15FAE and parameters 0x7F and 0x40, then unconditionally returns true. Discord discussion independently identifies Item_8026AE84's numeric identifier argument as an SFX ID.",0.97,2026-09-02T02:14:53.690Z,itDrMarioPill_Absorbed,main/melee/it/kinds/itdrmariopill:itDrMarioPill_Absorbed,main/melee/it/kinds/itdrmariopill,function,current,,,,rationale
fact:0b9015d9-dac3-4dbb-a409-d2dd119fe415,target:function:main/melee/gm/gm_16AE:fn_8016D538,,data_flow,"Reads the broad one-player-mode predicate `gm_8016B3D8`, an opaque mode selector from `fn_8017DF90`, the current scene index, the live match record's `is_singleplayer` state and rule bit `x5_1`, a global condition from `fn_801693A8`, and bit `0x20` from the record returned by `fn_8017DEC8(1)`. It reduces those inputs to one Boolean that post-match processing forwards to `pl_80040688` as a guard for conditional bonus updates.","The target directly exposes every branch input and the current caller and consumer establish the output's destination. The unavailable helper span no longer supports assigning semantic mode names to the selector or progression record, so those inputs remain opaque.",0.97,2026-09-05T15:10:44.291Z,fn_8016D538,main/melee/gm/gm_16AE:fn_8016D538,main/melee/gm/gm_16AE,function,current,,,,rationale
fact:0ba69e7d-35c8-4600-8398-d8833e81f758,target:function:main/melee/ft/kinds/ftMasterHand/ftmasterhandrockcrush:ftMh_RockCrushUp_Anim,,game_mapping,Implements the animation-completion step of Master Hand's internally named RockCrushUp action phase.,"The callback's recovered symbol identifies the RockCrushUp phase, while its use of ftMasterHand_SpecialAttrs and the Master Hand move-variable union grounds the behavior in Master Hand. Available community and wiki material does not securely map the internal RockCrush name to a more specific player-facing move name.",0.97,2026-09-02T02:21:14.657Z,ftMh_RockCrushUp_Anim,main/melee/ft/kinds/ftMasterHand/ftmasterhandrockcrush:ftMh_RockCrushUp_Anim,main/melee/ft/kinds/ftMasterHand/ftmasterhandrockcrush,function,current,,,,rationale
fact:0c1a8f1c-8454-4810-9747-1d1da0018069,target:function:main/melee/ft/kinds/ftCommon/ftCo_DownDamage:ftCo_DownDamage_IASA,,purpose,"Provides the DownDamage action state's IASA callback as an intentional no-op, satisfying the action-state callback interface while performing no input-driven interrupt handling.","The complete matched definition is named as the DownDamage IASA callback, accepts the fighter object expected by such a callback, and has an empty body. It therefore occupies the IASA hook without implementing any interrupt checks or transitions.",0.98,2026-09-02T03:26:17.425Z,ftCo_DownDamage_IASA,main/melee/ft/kinds/ftCommon/ftCo_DownDamage:ftCo_DownDamage_IASA,main/melee/ft/kinds/ftCommon/ftCo_DownDamage,function,current,,,,rationale
fact:0cce480d-cb19-465f-8bff-7bc6b095fd6e,target:function:main/melee/gr/grpura:grPura_80211E00,,purpose,"Supplies an unconditional-negative stage-level predicate in the `StageData` descriptor for Poké Floats. The precise condition represented by this callback slot remains unidentified, but this stage implementation always reports that it is false.","The stage descriptor for `Gr_Kind_Pura` stores this function among its runtime callbacks, and the complete body returns `false` without performing any other operation. The debug stage selector identifies PURA as Poké Floats. This establishes the function as a Poké Floats stage predicate while not supporting a more specific semantic name for the queried condition.",0.97,2026-09-02T06:25:55.547Z,grPura_80211E00,main/melee/gr/grpura:grPura_80211E00,main/melee/gr/grpura,function,current,,,,rationale
fact:0cd5a4fb-efcb-465f-8953-e310eecfc213,target:function:main/melee/gr/grcorneria:grCorneria_801E2D90,,game_mapping,"Provides a Corneria-specific classification of the collision geometry associated with the Great Fox fighting platform, recognizing six map-joint groups only while Corneria is active.","The code explicitly limits its map-line classification to `Gr_Kind_Corneria` and recognizes six collision-map joints. SmashWiki identifies the Great Fox as the platform on which fighters battle lengthwise in Melee's Corneria, grounding those Corneria map joints in the stage's fighting-platform geometry without assigning unsupported visual names to individual joint IDs.",0.87,2026-09-02T08:00:26.824Z,grCorneria_801E2D90,main/melee/gr/grcorneria:grCorneria_801E2D90,main/melee/gr/grcorneria,function,current,,,,rationale
fact:0d313a3e-ed5b-410a-9e03-5e9916f5fc13,target:function:main/melee/it/it_2725:it_80275210,,purpose,Enables the common item flag `xDC8_word.flags.x1C` on an item object. Its demonstrated use is as one step in establishing the initial runtime configuration of an Adventure Mode Koopa-derived shell.,"The matched body is a dedicated one-operation setter for `Item.xDC8_word.flags.x1C`. The resolved caller invokes it during straight-line ZGShell spawn initialization before initializing the shell-specific runtime fields and hurt capsule, establishing its role as a shared item-configuration helper used by the shell initializer without assigning an unsupported semantic name to the flag itself.",0.97,2026-09-02T07:51:48.790Z,it_80275210,main/melee/it/it_2725:it_80275210,main/melee/it/it_2725,function,current,,,,rationale
fact:0d3b46fe-f3ce-4a87-ad0c-c6f985fc10c2,target:function:main/melee/ft/fighter:Fighter_8006D9AC,,game_mapping,Implements the recurring update of fighter dynamic bones—the secondary model motion attached to configured fighter bone sets—while suppressing that update in two fighter states represented by `x221F_b3` and `x2219_b5`.,"The target is a scheduled fighter process whose only active operation enters `ftdynamics.c`. That subsystem iterates `dynamic_bone_sets`, updates their descriptors, and applies fighter- and stage-specific handling. Community analysis independently identifies the corresponding `ftdynamics.c` data as dynamic bones, grounding the visible model behavior without assigning unsupported names to the two guard flags.",0.96,2026-09-02T07:08:13.034Z,Fighter_8006D9AC,main/melee/ft/fighter:Fighter_8006D9AC,main/melee/ft/fighter,function,current,,,,rationale
fact:0db3e7ba-9eca-4347-89be-342e03a5738e,target:function:main/melee/it/kinds/itfreeze:itFreeze_Logic17_Clanked,,purpose,Provides the Freezie item's clank-event callback. It performs no Freezie-specific processing and unconditionally returns true to the item-event dispatcher.,"The complete matched function is explicitly named as Logic17's `Clanked` callback, ignores its item object, and consists solely of `return true;`. An equivalent named clank callback for Luigi Fireball has the same constant-true implementation, corroborating this as a standard item-event callback shape rather than omitted local behavior.",0.99,2026-09-02T02:54:18.462Z,itFreeze_Logic17_Clanked,main/melee/it/kinds/itfreeze:itFreeze_Logic17_Clanked,main/melee/it/kinds/itfreeze,function,current,,,,rationale
fact:0f0b70e6-ff37-40c5-8919-ce9d4edc8610,target:function:main/sysdolphin/baselib/archive:HSD_ArchiveLocateExtern,,inferred_type,"Signature: void HSD_ArchiveLocateExtern(HSD_Archive* archive, const char* symbol_name, void* address). The symbol name is read-only, the supplied address is an untyped runtime binding written as a 32-bit pointer value, and failure or absence is reported only by returning without mutation.","The head definition retains a void return, archive pointer, const symbol string, and untyped address. The symbol is only compared, the address is converted and stored through a u32 slot, and an absent matching record causes an early return without a status value.",0.99,2026-09-04T17:47:48.387Z,HSD_ArchiveLocateExtern,main/sysdolphin/baselib/archive:HSD_ArchiveLocateExtern,main/sysdolphin/baselib/archive,function,current,,,,value
fact:0fc1d895-0ac7-4d6c-97d7-6139b7de0a8f,target:function:main/melee/gr/grtemblem:grTRoy_802246A4,,game_mapping,Participates in collision maintenance for Ground object ID 1 on Roy's character-specific Target Test course. The available evidence does not identify which visible course component object ID 1 represents.,"The current table associates the collision-refresh wrapper with row 1 of TEmblem, and the stage documentation maps TEMBLEM to Roy's Target Test. Neither source assigns a visible-component name to that ground-object ID.",0.94,2026-09-04T23:09:12.914Z,grTRoy_802246A4,main/melee/gr/grtemblem:grTRoy_802246A4,main/melee/gr/grtemblem,function,current,,,,rationale
fact:10c4fb7b-f574-4d61-882c-361945acde84,target:function:main/melee/it/kinds/itdrmariopill:itDrMarioPill_Clanked,,game_mapping,Implements the Megavitamin projectile's response to clanking with another attack or item hitbox.,"The function is explicitly named as the Dr. Mario pill's Clanked callback, and the established Melee mechanic identifies Dr. Mario's pills as Megavitamin projectiles.",0.96,2026-09-02T02:17:28.916Z,itDrMarioPill_Clanked,main/melee/it/kinds/itdrmariopill:itDrMarioPill_Clanked,main/melee/it/kinds/itdrmariopill,function,current,,,,rationale
fact:10c7c11f-7bb2-4d66-ba13-ccaca2f922a9,target:function:main/sysdolphin/baselib/archive:HSD_ArchiveGetPublicAddress,,purpose,"Looks up a named public entry in an HSD archive and returns the entry's starting address within the archive's relocated data section, or NULL when the name is not exported.",The function compares the requested name against every public-entry name and constructs the result from the archive data base plus the matching entry's offset. Community explanation independently identifies the result as a starting point for using a relocated data file.,0.99,2026-09-01T23:03:29.103Z,HSD_ArchiveGetPublicAddress,main/sysdolphin/baselib/archive:HSD_ArchiveGetPublicAddress,main/sysdolphin/baselib/archive,function,current,,,,value
fact:13ceaf10-7215-476b-a1d5-5a6310d999a7,target:function:main/melee/gm/gm_1601:gm_80160C90,,state_behavior,Rendering has two language branches and two name-selection forms. In the saved US-language branch it enables default kerning and uses the US name and scale tables; otherwise it uses the non-US tables. An alternate name is selected only when the request flag is nonzero and that character's language-specific alternate-name pointer is present; otherwise the normal name and normal scale are used.,"Both language branches explicitly test the alternate-name request together with the corresponding nullable alternate-name table entry. The same derived condition controls both the chosen scale and the SIS alternate-name argument, while the US branch additionally writes `default_kerning`.",0.99,2026-09-02T13:26:08.551Z,gm_80160C90,main/melee/gm/gm_1601:gm_80160C90,main/melee/gm/gm_1601,function,current,,,,value
fact:1488365e-dce7-450f-a491-c1414609685d,target:data:main/melee/gm/gm_19EF:.sdata,,data_flow,"Scene-entry code passes the section's filenames and symbol names to archive-loading APIs. The loaders resolve them into archive, `SceneDesc`, joint, and model outputs stored in separate globals or locals, after which scene construction and update code consume those resolved resources without modifying the identifiers.",The current builders demonstrate one-way flow from immutable textual lookup keys to mutable loaded-resource state.,0.9,2026-09-04T02:53:39.041Z,.sdata,main/melee/gm/gm_19EF:.sdata,main/melee/gm/gm_19EF,data,current,,,,value
fact:17aeaf70-5b52-4f3d-9943-566ff92c8e60,target:function:main/melee/it/kinds/itseakneedlethrown:it_2725_Logic109_Clanked,,game_mapping,Implements the randomized post-clank response of a Needle Storm projectile: a thrown Sheik needle can be deflected into an upward tumbling bounce rather than simply retaining its pre-clank flight behavior.,"The target belongs to the SeakNeedleThrown item and is explicitly registered by name as its Clanked response. The code produces an upward randomized bounce, while SmashWiki identifies Needle Storm's needles as projectiles capable of interacting with and stopping other projectiles.",0.95,2026-09-02T01:19:14.424Z,it_2725_Logic109_Clanked,main/melee/it/kinds/itseakneedlethrown:it_2725_Logic109_Clanked,main/melee/it/kinds/itseakneedlethrown,function,current,,,,rationale
fact:18f664c7-e11a-4ffb-be8b-e28190b1259d,target:function:main/melee/gm/gmtou_0:fn_8019237C,,game_mapping,Realizes the animated cursor used when assigning a saved player name to a Tournament Mode entrant.,The cursor appears only in the state whose handler navigates saved names and commits one to the currently edited tournament entrant.,0.98,2026-09-04T19:46:55.838Z,fn_8019237C,main/melee/gm/gmtou_0:fn_8019237C,main/melee/gm/gmtou_0,function,current,,,,value
fact:19141d08-e12d-43a9-90de-845d347318a6,target:function:main/melee/ft/kinds/ftCommon/ftCo_0A01:ftCo_800A59C0,,game_mapping,"Supports CPU fighter behavior selection for using a held item: items in article-attribute category 3 receive specialized choices based on remaining item use, opponent direction and distance, and whether the CPU can act.","The caller is CPU attack logic and uses this classifier before selecting distinct item-action codes. The surrounding unit is independently identified as CPU behavior logic, grounding the classification branch in CPU-controlled held-item decision-making without assigning an unsupported public item-category name to value 3.",0.94,2026-09-02T13:58:47.369Z,ftCo_800A59C0,main/melee/ft/kinds/ftCommon/ftCo_0A01:ftCo_800A59C0,main/melee/ft/kinds/ftCommon/ftCo_0A01,function,current,,,,rationale
fact:19721a29-796f-4a77-9085-8435f2acfd64,target:function:main/melee/ft/kinds/ftGameWatch/ftgamewatch:ftGw_Init_OnDamage,,game_mapping,"Realizes damage-interruption cleanup for the props used by Mr. Game & Watch's Greenhouse jab, Manhole down tilt, Fire Attack forward smash, Parachute neutral aerial, Turtle Bridge back aerial, Spit Ball Sparky up aerial, Judgment side special, Oil Panic down special, and Fire up special.","The callback names the corresponding Greenhouse, Manhole, Torch, Parachute, Turtle, Sparky, Judgment, Panic, and Rescue cleanup paths. The gameplay moveset independently maps those props and source-game names to Mr. Game & Watch's jab, tilts, aerials, smash, and special moves.",0.98,2026-09-02T02:10:46.215Z,ftGw_Init_OnDamage,main/melee/ft/kinds/ftGameWatch/ftgamewatch:ftGw_Init_OnDamage,main/melee/ft/kinds/ftGameWatch/ftgamewatch,function,current,,,,rationale
fact:19a2cfe9-4093-40f9-8989-bb3981202610,target:function:main/melee/ft/kinds/ftCommon/ftCo_Guard:ftCo_GuardOn_IASA,,state_behavior,"During each GuardOn IASA evaluation, checks in strict order: an inline common-guard transition using ftCo_80092BE8; another guard-unit transition; an ItemThrow-unit transition; two Escape-unit transitions; ftCo_800D8B9C from the Catch unit; the named catch-input transition; a Jump-unit transition; and finally a Pass-unit transition. The first true handler result terminates the callback; if all return false, GuardOn continues for that invocation.","This follows the matched callback literally. RETURN_IF around every expression establishes first-success priority, while the owning translation units support the broad transition domains without assigning unsupported semantic names to still-addressed helpers.",0.98,2026-09-02T04:41:38.276Z,ftCo_GuardOn_IASA,main/melee/ft/kinds/ftCommon/ftCo_Guard:ftCo_GuardOn_IASA,main/melee/ft/kinds/ftCommon/ftCo_Guard,function,current,,,,rationale
fact:19f9a3f6-3587-483f-a18b-26b60ab733a9,target:function:main/melee/gr/grtyoshi:grTYoshi_OnCheckShadowRender,,game_mapping,"Realizes the grTYoshi stage's permissive shadow-render policy: every shadow submitted to this eligibility check is accepted regardless of the supplied position, query value, or scene object.","The callback is explicitly named as grTYoshi's shadow-render check, while its unconditional true result proves that it applies no input-dependent exclusion.",0.96,2026-09-02T04:46:59.421Z,grTYoshi_OnCheckShadowRender,main/melee/gr/grtyoshi:grTYoshi_OnCheckShadowRender,main/melee/gr/grtyoshi,function,current,,,,rationale
fact:1a188b38-3142-4841-ba76-678e17b51867,target:function:main/melee/it/kinds/itfoxillusion:itFoxIllusion_Logic14_DmgDealt,,purpose,Handles the illusion item's damage-dealt event by resetting its `xCA8` runtime value to zero without requesting that the item be destroyed.,"The matched body is explicitly named as the Logic14 damage-dealt callback, resolves the supplied item, clears `xCA8`, and unconditionally returns false. No stronger meaning for the still-unnamed field is established by the available evidence.",0.97,2026-09-02T03:40:26.343Z,itFoxIllusion_Logic14_DmgDealt,main/melee/it/kinds/itfoxillusion:itFoxIllusion_Logic14_DmgDealt,main/melee/it/kinds/itfoxillusion,function,current,,,,rationale
fact:1b0a0c1d-a906-4edf-ab5f-5dcbb87dd5ba,target:function:main/melee/it/kinds/itkyasarin:itKyasarin_UnkMotion7_Anim,,state_behavior,"The callback leaves the state unchanged while it_80272C6C returns true. When that guard returns false, it emits one egg and decrements x34. A still-positive x34 re-enters motion state 7 with ITEM_ANIM_UPDATE; an exhausted counter initializes x28 to an attribute-based randomized value and transitions to motion state 6 with ITEM_ANIM_UPDATE.","These guards, mutations, and transitions are the explicit control flow of the matched function. No more specific meaning is assigned to it_80272C6C because its semantic name has not been recovered.",0.99,2026-09-02T03:48:44.882Z,itKyasarin_UnkMotion7_Anim,main/melee/it/kinds/itkyasarin:itKyasarin_UnkMotion7_Anim,main/melee/it/kinds/itkyasarin,function,current,,,,rationale
fact:1b21129b-81a1-4d5a-a380-5bf4a8f1933b,target:function:main/melee/ft/kinds/ftKirby/ftkirbyspecialpurin:ftKb_PrSpecialAirN_Phys,,purpose,"Updates Kirby's movement during the airborne charged-release phase of copied Rollout: it derives horizontal speed from the stored direction and remaining release value, applies opposing horizontal deceleration while enforcing a minimum speed, applies falling physics, and advances the phase toward its terminating handoff.","The matched body directly computes horizontal self velocity from SpecialN move state, subtracts signed deceleration, enforces a minimum absolute speed, invokes common falling physics, decrements the release scalar, and conditionally calls a transition helper. Its instruction-level-identical Jigglypuff analog is explicitly named as the aerial charge-release physics callback.",0.98,2026-09-02T01:24:29.961Z,ftKb_PrSpecialAirN_Phys,main/melee/ft/kinds/ftKirby/ftkirbyspecialpurin:ftKb_PrSpecialAirN_Phys,main/melee/ft/kinds/ftKirby/ftkirbyspecialpurin,function,current,,,,rationale
fact:1d2117ca-1e66-4600-a8cd-68298731e1fd,target:function:main/melee/gr/grheal:grHeal_8021EFBC,,purpose,Supplies the Heal stage descriptor's load-callback slot while deliberately requiring no All-Star Rest Area-specific load-time setup.,The HEAL descriptor registers this empty callback in the same position that the current TMars descriptor explicitly names as its stage-load hook.,0.98,2026-09-04T23:04:09.545Z,grHeal_8021EFBC,main/melee/gr/grheal:grHeal_8021EFBC,main/melee/gr/grheal,function,current,,,,rationale
