id,target_id,entity_id,type,value,rationale,confidence,updated_at,symbol,stable_key,unit,target_kind,target_status,entity_kind,locator,entity_status,shape,candidate,evidence_count,flags
fact:005f6953-0fa4-420e-bd7a-d2e5816079c1,target:function:main/melee/lb/lbaudio_ax:fn_800267B0,,inferred_name,A plausible original-style name is `lbAudioAx_EvictUnusedSFX`.,"The routine selectively removes loaded SFX packages absent from the new request set while under memory pressure, distinguishing it from whole-bank unload operations. Exact historical wording is unavailable.",0.78,2026-09-04T21:10:54.178Z,fn_800267B0,main/melee/lb/lbaudio_ax:fn_800267B0,main/melee/lb/lbaudio_ax,function,current,,,,prose_or_other,,1,
fact:00626bcb-f1eb-4ae1-adcf-9eba1b9800df,target:function:main/melee/gr/grhomerun:grHomeRun_8021E494,,inferred_name,A plausible original-style name is `grHomeRun_Ground9_OnDestroy`.,"The current table keeps the target in entry 9's fourth lifecycle field, and the current body removes the text resource retained by that component. This supports a destruction-oriented semantic guess, although the exact original suffix remains uncertain.",0.74,2026-09-04T23:03:35.624Z,grHomeRun_8021E494,main/melee/gr/grhomerun:grHomeRun_8021E494,main/melee/gr/grhomerun,function,current,,,,prose_or_other,,3,
fact:006ef421-3a13-47ac-8e63-3e7807b8ce09,target:function:main/melee/ft/kinds/ftCommon/ftCo_Damage:ftCo_Damage_CheckAirMotion,,inferred_name,A plausible original-style semantic name is `ftCo_Damage_CheckVCancel`.,"The current caller still uses successful eligibility to reduce airborne initial knockback, and the mechanics reference names that exact input-gated behavior V-cancelling; uncertainty remains because the term may be community-derived.",0.78,2026-09-04T19:05:50.718Z,ftCo_Damage_CheckAirMotion,main/melee/ft/kinds/ftCommon/ftCo_Damage:ftCo_Damage_CheckAirMotion,main/melee/ft/kinds/ftCommon/ftCo_Damage,function,current,,,,prose_or_other,,3,
fact:00845de7-3db9-453a-8edf-ee0fc253817f,target:function:main/melee/it/kinds/itcrazyhandbomb:it_802F10F8,,inferred_name,Likely original-style name: `itCrazyHandBomb_UnkMotion0_Init`.,"The current function is called directly after allocation and unconditionally initializes state 0, while neighboring callbacks use the UnkMotion0 naming family. Exact capitalization and wording remain uncertain.",0.76,2026-09-04T20:34:30.553Z,it_802F10F8,main/melee/it/kinds/itcrazyhandbomb:it_802F10F8,main/melee/it/kinds/itcrazyhandbomb,function,current,,,,prose_or_other,,2,
fact:0084daa8-5820-4eda-a4e8-fafc0d564442,target:function:main/melee/it/kinds/itcoin:it_802F2094,,inferred_name,A plausible semantic name is itCoin_Spawn.,"The current function constructs an It_Kind_Coin, performs all Coin-specific initialization, and returns the resulting Item_GObj, making Spawn the most direct developer-style role name. No preserved symbol confirms the exact wording.",0.78,2026-09-04T20:33:11.400Z,it_802F2094,main/melee/it/kinds/itcoin:it_802F2094,main/melee/it/kinds/itcoin,function,current,,,,prose_or_other,,1,
fact:008d1724-aedc-4a2c-998d-c241db6d058d,target:function:main/melee/ft/kinds/ftKirby/ftkirbycaptureyoshi:fn_8010A930,,inferred_name,Likely `ftCo_CaptureKirbyYoshi_Enter`.,"The unnamed function initializes the state represented by the immediately following CaptureKirbyYoshi callback suite. Its common CaptureYoshi analog has the same initializer-before-callback-suite arrangement, making the state stem well supported while the conventional Enter suffix remains a plausible guess.",0.86,2026-09-04T19:12:18.117Z,fn_8010A930,main/melee/ft/kinds/ftKirby/ftkirbycaptureyoshi:fn_8010A930,main/melee/ft/kinds/ftKirby/ftkirbycaptureyoshi,function,current,,,,prose_or_other,,2,
fact:009062a5-395d-45a0-bf61-aeb47ddab0e4,target:function:main/melee/gm/gm_17C0:fn_8017C7EC,,inferred_name,Likely `gm_SetPushOnTimeLimit`.,The routine's sole effect is assigning a Push On-derived value to `timer_seconds`; the exact original spelling remains unconfirmed.,0.84,2026-09-05T15:13:47.119Z,fn_8017C7EC,main/melee/gm/gm_17C0:fn_8017C7EC,main/melee/gm/gm_17C0,function,current,,,,prose_or_other,,1,
fact:00949288-b961-4840-ae4b-eaa6eb7ae7f6,target:function:main/melee/mn/mnitemsw:mnItemSw_802351A0,,inferred_name,A plausible original-style name is `mnItemSw_CreateMenuGObj`.,"The current routine creates, fully initializes, and returns the Item Switch screen's primary GObj, distinguishing it from the entry initializer and per-item constructor.",0.79,2026-09-04T21:19:55.275Z,mnItemSw_802351A0,main/melee/mn/mnitemsw:mnItemSw_802351A0,main/melee/mn/mnitemsw,function,current,,,,prose_or_other,,2,
fact:00964bef-bc6e-495c-bb12-349cec7e39fd,target:function:main/melee/gm/gmevent:gm_801BEA88,,inferred_name,`gmEvent_SetPlayerCpuTypeAndGiantScale` is a plausible descriptive name.,"The current body performs exactly those two configuration operations, and recovered `GM_EVENT` terminology supports the prefix; exact original spelling is unknown.",0.7,2026-09-04T19:40:23.655Z,gm_801BEA88,main/melee/gm/gmevent:gm_801BEA88,main/melee/gm/gmevent,function,current,,,,prose_or_other,,2,
fact:009ae3db-19ad-4d7d-b411-d046f17d77bc,target:function:main/melee/gm/gmregclear:fn_8017F294,,inferred_name,Likely `gmRegClearGetTotalScore`.,"The function is a direct getter in the gmregclear subsystem, and its field is the complete bounded score assembled by presentation initialization; no original symbol confirms the exact spelling.",0.76,2026-09-05T15:22:00.509Z,fn_8017F294,main/melee/gm/gmregclear:fn_8017F294,main/melee/gm/gmregclear,function,current,,,,prose_or_other,,2,
fact:009d1c1a-d360-45b4-b856-91d34bc5cf41,target:function:main/melee/pl/plbonuslib:pl_80040048,,inferred_name,A plausible original-style name is `plBonusLib_RecordCliffCatch`.,The function is called on the accepted CliffCatch path and records statistics rather than performing the fighter transition; the exact original wording remains unrecovered.,0.67,2026-09-04T21:25:37.820Z,pl_80040048,main/melee/pl/plbonuslib:pl_80040048,main/melee/pl/plbonuslib,function,current,,,,prose_or_other,,2,
fact:009f0840-d620-4bfb-8bb2-40e90e2ecbc3,target:function:main/melee/ft/kinds/ftMasterHand/ftmasterhandbackdisappear:ftMh_MS_372_801542E0,,inferred_name,ftMh_Wait1_1_Enter,"At head, the routine unconditionally enters `ftMh_MS_Wait1_1` and initializes the playback rate and countdown consumed by the following Wait1_1 callback family. This supports a Wait1_1 entry name, although the exact original suffix remains uncertain.",0.82,2026-09-04T22:54:07.345Z,ftMh_MS_372_801542E0,main/melee/ft/kinds/ftMasterHand/ftmasterhandbackdisappear:ftMh_MS_372_801542E0,main/melee/ft/kinds/ftMasterHand/ftmasterhandbackdisappear,function,current,,,,bare_identifier,ftMh_Wait1_1_Enter,1,
fact:00a105ae-2a8c-4ec6-9d57-75e36b287218,target:function:main/melee/gr/grgreatbay:grGreatBay_801F55F8,,inferred_name,A plausible original-style name is `grGreatBay_Tingle_Callback1`; an indexed-object alternative is `grGreatBay_StageGObj10_Callback1`.,"The Great Bay table labels the owning object `tingle` and places the target in callback1. The recovered analogous stage function is named `stageGObj2_Callback1`, supporting the `Callback1` suffix, while this translation unit consistently uses the `grGreatBay_` prefix. No preserved symbol establishes whether the original developer used the semantic object label or its table index, so both forms remain conjectural.",0.75,2026-09-02T12:24:23.760Z,grGreatBay_801F55F8,main/melee/gr/grgreatbay:grGreatBay_801F55F8,main/melee/gr/grgreatbay,function,current,,,,prose_or_other,,2,
fact:00a392d8-bba2-4ab9-8585-59d35c601cb8,target:function:main/melee/it/kinds/itkamex:itKamex_UnkMotion1_Anim,,inferred_name,`itKamex_HydroPumpLoop_Anim`,"The function remains state 1's animation callback and repeats that state for a finite number of completed animation cycles; the state's accessory callback explicitly spawns Kamex Hydro Pump children, supporting the inferred loop-oriented name.",0.84,2026-09-04T23:21:34.057Z,itKamex_UnkMotion1_Anim,main/melee/it/kinds/itkamex:itKamex_UnkMotion1_Anim,main/melee/it/kinds/itkamex,function,current,,,,quoted_identifier,itKamex_HydroPumpLoop_Anim,1,
fact:00a7c242-ef0a-4272-a7bd-adf8becbfa3c,target:function:main/melee/if/ifhazard:un_802FD90C,,inferred_name,"A plausible original-style name is `ifHazard_Free`, reflecting its position as the hazard-interface cleanup hook called by the aggregate HUD teardown routine.","The caller places the function among subsystem cleanup operations and includes the nearby explicitly named `ifTime_FreeTimers`, making a `Free`-based interface name plausible. The exact original suffix is not recoverable, and the empty body alone cannot distinguish among cleanup-oriented naming variants.",0.74,2026-09-02T08:24:26.043Z,un_802FD90C,main/melee/if/ifhazard:un_802FD90C,main/melee/if/ifhazard,function,current,,,,prose_or_other,,2,
fact:00b00b75-c6ea-4e78-9325-eec33d8afdc7,target:function:main/melee/ft/ftcpuattack:ftCo_800B9790,,inferred_name,Likely `ftCo_CpuSelectNessAttack`.,"The function occupies the dedicated Ness branch of the CPU attack planner and selects or handles a character-specific attack decision by writing the CPU attack-command field. The proposed spelling follows the unit's CPU attack-selection terminology, but no surviving symbol confirms the original name.",0.76,2026-09-02T15:43:36.420Z,ftCo_800B9790,main/melee/ft/ftcpuattack:ftCo_800B9790,main/melee/ft/ftcpuattack,function,current,,,,prose_or_other,,2,
fact:00cc577c-47ba-4e74-8904-80862dc6edf8,target:function:main/melee/if/ifmagnify:ifMagnify_802FBBDC,,inferred_name,A plausible original-style name is `ifMagnify_CaptureFighters`.,"The function is the dedicated camera callback that iterates eligible fighters, renders each one, and copies the result into its magnifier image descriptor. `CaptureFighters` distinguishes this texture-generation role from the separate screen-edge display callback, though no surviving symbol confirms the exact suffix.",0.78,2026-09-04T02:34:57.159Z,ifMagnify_802FBBDC,main/melee/if/ifmagnify:ifMagnify_802FBBDC,main/melee/if/ifmagnify,function,current,,,,prose_or_other,,3,
fact:00ccfbe0-2a65-4e07-9698-abfa4c5a333f,target:function:main/melee/ft/ftwalkcommon:ftWalkCommon_800DFC70,,inferred_name,ftWalkCommon_CheckInput,"The function is a shared, side-effect-free walking-input predicate directly consumed by the named `ftCo_Walk_CheckInput` wrapper. Within the ftWalkCommon naming convention, `ftWalkCommon_CheckInput` remains the most plausible role-based name, although no preserved symbol confirms it.",0.86,2026-09-04T18:55:26.916Z,ftWalkCommon_800DFC70,main/melee/ft/ftwalkcommon:ftWalkCommon_800DFC70,main/melee/ft/ftwalkcommon,function,current,,,,bare_identifier,ftWalkCommon_CheckInput,2,
fact:00ce3467-b85e-432a-9114-3f9699d08ce1,target:function:main/melee/it/kinds/itlgunray:it_802982AC,,inferred_name,Likely `itLgunray_Init`.,"The current local helper is still invoked immediately after projectile creation and performs lifetime, common setup, and initial-state entry, supporting `Init` as its plausible role suffix.",0.76,2026-09-04T23:22:32.999Z,it_802982AC,main/melee/it/kinds/itlgunray:it_802982AC,main/melee/it/kinds/itlgunray,function,current,,,,prose_or_other,,1,
fact:00ce7ca9-1a57-43c5-849a-761263a4a9da,target:function:main/melee/it/kinds/itstarrod:it_80292488,,inferred_name,Likely itStarrod_UnkMotion1.,"The function is the entry helper for state 1, and the adjacent callbacks belonging to that table entry are already named itStarrod_UnkMotion1_Phys and itStarrod_UnkMotion1_Coll. Removing the callback suffix yields the locally consistent base name, though no symbol evidence proves that exact original spelling.",0.82,2026-09-02T05:14:48.749Z,it_80292488,main/melee/it/kinds/itstarrod:it_80292488,main/melee/it/kinds/itstarrod,function,current,,,,prose_or_other,,1,
fact:00cf665c-4299-43de-af4f-f5050b64913f,target:function:main/melee/it/itmaplib:it_80276FC4,,inferred_name,A plausible original-style name is `itMap_ApplyReboundEffects`.,"The recovered translation-unit basename and archival terminology support the `itMap` subsystem prefix, while the function's distinguishing role is to orchestrate rebound-associated sound, visual feedback, and hitbox attenuation after the velocity response. No preserved symbol establishes the exact original spelling, so this remains a low-confidence semantic reconstruction.",0.53,2026-09-02T14:56:23.932Z,it_80276FC4,main/melee/it/itmaplib:it_80276FC4,main/melee/it/itmaplib,function,current,,,,prose_or_other,,2,
fact:00cfeb62-0b42-4b2f-b143-54f5c0203a89,target:function:main/melee/lb/lbmthp:fn_8001F2A4,,inferred_name,A plausible original name is `lbMthp_AlarmCallback`.,The function has the Dolphin OS alarm-handler signature and is registered directly as MoviePlayer's periodic alarm callback.,0.88,2026-09-04T21:14:09.528Z,fn_8001F2A4,main/melee/lb/lbmthp:fn_8001F2A4,main/melee/lb/lbmthp,function,current,,,,prose_or_other,,1,
fact:00db407b-3d7c-4d1e-9e7f-f3114ee561dc,target:function:main/melee/gr/ground:Ground_801C247C,,inferred_name,Likely original name: `Ground_GetSpline`.,"The current routine remains a read-only HSD_Spline accessor, and current callers continue to treat its results specifically as retained spline pointers.",0.86,2026-09-04T20:11:05.044Z,Ground_801C247C,main/melee/gr/ground:Ground_801C247C,main/melee/gr/ground,function,current,,,,prose_or_other,,2,
fact:00e2798d-cfc2-4caf-84c3-de57876eac6a,target:function:main/melee/gr/groldyoshi:grOldYoshi_8020E978,,inferred_name,grOldYoshi_GObj1_OnInit,"The current table places the function in row 1's first field, and `StageCallbacks` names that field `on_init`; the proposed name expresses only the demonstrated stage prefix, object index, and callback role.",0.87,2026-09-04T23:08:25.872Z,grOldYoshi_8020E978,main/melee/gr/groldyoshi:grOldYoshi_8020E978,main/melee/gr/groldyoshi,function,current,,,,bare_identifier,grOldYoshi_GObj1_OnInit,2,
fact:00e3cd06-f82e-44ca-a39b-d2bdf7912485,target:function:main/melee/gr/grtlink:grTLink_80221AF0,,inferred_name,`stageGObj0_Callback3`,"The current Link table places the function in callback index 3 of row 0, and the current Falco Target Test table explicitly names the equivalent position `stageGObj0_Callback3`.",0.95,2026-09-04T23:11:14.533Z,grTLink_80221AF0,main/melee/gr/grtlink:grTLink_80221AF0,main/melee/gr/grtlink,function,current,,,,quoted_identifier,stageGObj0_Callback3,2,candidate_is_existing_symbol_review_scope
fact:00e72ee8-f885-4671-861c-fce0fb03e885,target:function:main/melee/it/it_2725:it_80274EE8,,inferred_name,Likely `it_IncrementFoodSpawnCount`.,"The proposed name follows the `it_` subsystem prefix and describes the narrow demonstrated operation: the function is called from the Food-only branch of successful item registration and increments a distinct cumulative global counter. “SpawnCount” distinguishes it from the neighboring active Food count, which has both increment and decrement paths.",0.72,2026-09-02T07:51:33.766Z,it_80274EE8,main/melee/it/it_2725:it_80274EE8,main/melee/it/it_2725,function,current,,,,prose_or_other,,3,
fact:00e98f8b-3763-4a1d-9418-16563c8c3439,target:function:main/melee/ft/fighter:Fighter_UnkUpdateCostumeJoint_800686E4,,inferred_name,Likely `Fighter_LoadCostumeJoint`.,"The refreshed implementation selects an HSD_Joint descriptor and loads a new JObj hierarchy rather than updating an already installed joint. `LoadCostumeJoint` therefore better reflects the operation than the current provisional `UnkUpdateCostumeJoint` symbol, though the exact original spelling remains uncertain.",0.74,2026-09-04T18:36:42.417Z,Fighter_UnkUpdateCostumeJoint_800686E4,main/melee/ft/fighter:Fighter_UnkUpdateCostumeJoint_800686E4,main/melee/ft/fighter,function,current,,,,prose_or_other,,1,
fact:00f56eec-0385-4391-aae1-5e8ac5a34a95,target:function:main/melee/ft/kinds/ftCommon/ftCo_CatchAttack:fn_800DA618,,inferred_name,Likely `ftCo_CatchAttack_LeaveGround`.,"The function is the CatchAttack collision fallback for absent floor support and transitions both members of the capture pair into falling, making `LeaveGround` a plausible role-based suffix; no preserved symbol confirms it.",0.8,2026-09-04T19:02:49.738Z,fn_800DA618,main/melee/ft/kinds/ftCommon/ftCo_CatchAttack:fn_800DA618,main/melee/ft/kinds/ftCommon/ftCo_CatchAttack,function,current,,,,prose_or_other,,2,
fact:00f5e115-25be-4ce8-8d14-b3a9f3ee3b41,target:function:main/melee/vi/vi1201v2:un_80320508,,inferred_name,Likely vi1201v2_SetupPlayer.,"The function remains a scene-entry helper whose specific output is one configured selected-character demo fighter, preserving the basis for this tentative name.",0.69,2026-09-04T23:46:25.252Z,un_80320508,main/melee/vi/vi1201v2:un_80320508,main/melee/vi/vi1201v2,function,current,,,,prose_or_other,,2,
fact:00f6f531-b6d6-499c-afe3-18b306267561,target:function:main/melee/lb/lbaudio_ax:lbAudioAx_80024C84,,inferred_name,A plausible original-style name is `lbAudioAx_ResetTransientState`.,The function restores a broad set of transient controller values and selected track/channel state without performing full subsystem initialization.,0.72,2026-09-04T21:11:10.688Z,lbAudioAx_80024C84,main/melee/lb/lbaudio_ax:lbAudioAx_80024C84,main/melee/lb/lbaudio_ax,function,current,,,,prose_or_other,,1,
fact:00f716b9-4da2-4f0e-82e6-a1b4167f9741,target:function:main/melee/mp/mplib:mpLib_80058044,,inferred_name,mpJointDeactivateIslands,The current inverse pair still sets and clears B11 while rebuilding collision-island records as inactive or conditionally active. This continues to support the convention-compatible `mpJointDeactivateIslands` guess.,0.78,2026-09-04T21:23:20.755Z,mpLib_80058044,main/melee/mp/mplib:mpLib_80058044,main/melee/mp/mplib,function,current,,,,bare_identifier,mpJointDeactivateIslands,2,
fact:00fd156a-c5ea-4779-b53c-8c18defd1d3c,target:function:main/melee/ft/kinds/ftKirby/ftkirbyspecialseak:ftKb_SpecialNSk_8010603C,,inferred_name,Likely original-style name: `ftKb_SpecialNSk_CheckAndDestroyNeedles`.,"The current native Sheik source annotates its structurally corresponding helper as `Sheik_CheckAndDestroyNeedles`. Kirby's helper performs the same distinctive held-reference invalidation and complete stock-disposal loop with Kirby-specific fields and item kind, supporting the analogous local-prefix name while leaving its exact spelling inferential.",0.88,2026-09-04T22:50:09.443Z,ftKb_SpecialNSk_8010603C,main/melee/ft/kinds/ftKirby/ftkirbyspecialseak:ftKb_SpecialNSk_8010603C,main/melee/ft/kinds/ftKirby/ftkirbyspecialseak,function,current,,,,prose_or_other,,2,
fact:010626d6-bcce-4e65-b9ee-7b9fe0f84f88,target:function:main/melee/it/kinds/itevyoshiegg:itEvyoshiegg_UnkMotion3_Phys,,inferred_name,"A plausible original-style semantic name is itEvYoshiEgg_Thrown_Phys, with Dropped_Phys being less likely because both dropped and thrown entry points intentionally share the state selected by the function named Logic42_Thrown.","The current source shows Logic42_Dropped delegating to Logic42_Thrown, which selects state 3, and the state table assigns the target to that state's physics slot.",0.9,2026-09-04T23:19:48.601Z,itEvyoshiegg_UnkMotion3_Phys,main/melee/it/kinds/itevyoshiegg:itEvyoshiegg_UnkMotion3_Phys,main/melee/it/kinds/itevyoshiegg,function,current,,,,prose_or_other,,2,
fact:0109a3a4-0a75-468b-a262-5c245f5a2002,target:function:main/melee/gr/grtganon:grTGanon_802248A4,,inferred_name,`stageGObj0_Callback3`,"The current target occupies callback field 3 of TGanon row 0, and Falco's parallel controller explicitly names its equivalent empty function `stageGObj0_Callback3`.",0.95,2026-09-04T23:11:38.306Z,grTGanon_802248A4,main/melee/gr/grtganon:grTGanon_802248A4,main/melee/gr/grtganon,function,current,,,,quoted_identifier,stageGObj0_Callback3,2,candidate_is_existing_symbol_review_scope
fact:01278c8a-6413-44c3-9d14-21e9e9ba979f,target:function:main/melee/lb/lbaudio_ax:lbAudioAx_8002411C,,inferred_name,Likely `lbAudioAx_PlaySFXOnChannel6`.,The routine is distinguished from its structurally identical channel-5 neighbor solely by fixed logical channel 6.,0.66,2026-09-04T21:10:08.706Z,lbAudioAx_8002411C,main/melee/lb/lbaudio_ax:lbAudioAx_8002411C,main/melee/lb/lbaudio_ax,function,current,,,,prose_or_other,,2,
fact:013072a5-c61c-4ab3-bb95-18450ae50183,target:function:main/melee/gr/grtseak:grTSeak_80223A7C,,inferred_name,Likely `stageGObj2_Callback1`.,"The TSeak table installs the target as callback1 of the row indexed by ground-object ID 2. The neighboring Marth Target Test controller names its structurally identical constant-false function in the corresponding row `stageGObj2_Callback1`, providing a strong local naming convention but not direct original-symbol evidence.",0.98,2026-09-02T06:52:13.405Z,grTSeak_80223A7C,main/melee/gr/grtseak:grTSeak_80223A7C,main/melee/gr/grtseak,function,current,,,,prose_or_other,,2,
fact:0141c2a3-f02c-4c2b-8986-12424e5ec473,target:function:main/melee/it/kinds/ittarucann:it_3F14_Logic5_Dropped,,inferred_name,Likely original-style name: itTaruCann_Logic5_Dropped.,"The current symbol already identifies the Logic5 Dropped lifecycle role, while the immediately adjacent lifecycle callbacks use the item-specific itTaruCann prefix, notably itTaruCann_Logic5_PickedUp. Applying that established local prefix yields the most plausible original-style name.",0.95,2026-09-02T02:53:15.486Z,it_3F14_Logic5_Dropped,main/melee/it/kinds/ittarucann:it_3F14_Logic5_Dropped,main/melee/it/kinds/ittarucann,function,current,,,,prose_or_other,,1,
fact:0150e329-9bcb-417a-bb31-0375ad92eefd,target:function:main/melee/pl/plbonuslib:pl_8003E854,,inferred_name,A plausible original-style name is `plBonusLib_RecordItemAcquisition`.,"The current caller invokes the function during possession transfer, and the current body records bonus, ownership-attribution, and item-instance state without performing attachment itself.",0.76,2026-09-05T05:25:05.568Z,pl_8003E854,main/melee/pl/plbonuslib:pl_8003E854,main/melee/pl/plbonuslib,function,current,,,,prose_or_other,,2,
fact:016529b8-9d12-4d48-b48c-cd8cff9fa88f,target:function:main/melee/gm/gmmultiman:gm_801B81A8,,inferred_name,gm_Mode_EndlessVs_ExitCss,The function occupies the on-exit field of the CSS state in gm_Mode_EndlessVs_States. The name follows current GameModeState and gm_Mode_* terminology but remains an inference.,0.72,2026-09-04T19:43:27.970Z,gm_801B81A8,main/melee/gm/gmmultiman:gm_801B81A8,main/melee/gm/gmmultiman,function,current,,,,bare_identifier,gm_Mode_EndlessVs_ExitCss,1,
fact:0166f4ff-9104-4c22-bb15-92798b33c2c0,target:function:main/melee/gr/grvenom:grVenom_80203B18,,inferred_name,Likely `grVenom_Init`.,"The current no-argument routine performs comprehensive one-time Venom setup and is installed as `StageData.on_init`, strongly supporting an initialization name while leaving the exact original suffix uncertain.",0.82,2026-09-04T20:18:31.848Z,grVenom_80203B18,main/melee/gr/grvenom:grVenom_80203B18,main/melee/gr/grvenom,function,current,,,,prose_or_other,,2,
